UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
28,23,2,4,10,7,3,5,3,0,1,1,1,0,0,0,0,13.621802,50.982105
28,23,2,4,19,7,2,6,6,2,0,1,0,1,0,0,0,13.763572,50.99651
23,23,2,3,18,6,3,3,6,2,1,1,1,0,0,0,0,12.123218,50.49565
13,23,2,3,15,6,3,6,4,0,1,1,0,1,0,0,0,12.404529,51.320743
12,23,2,3,7,6,3,4,3,2,1,1,1,0,0,0,0,13.701581,51.030581
30,23,2,2,13,5,3,5,3,0,1,1,1,0,0,0,0,12.482771,51.37529
12,23,2,2,7,5,3,5,3,0,0,1,1,0,0,0,0,13.761321,51.083407
27,23,4,30,17,1,2,0,1,0,0,1,0,0,0,0,0,13.694784,51.09595
29,23,2,1,17,4,2,2,6,0,1,1,0,0,0,0,1,12.733201,51.339037
27,23,2,1,5,4,3,0,1,2,1,1,0,0,0,0,0,13.596535,51.163015
12,23,2,1,7,4,3,5,3,1,1,1,1,0,0,0,0,13.768257,51.015701
12,23,2,1,17,4,3,3,3,2,0,1,1,0,0,0,0,13.739162,51.058876
13,23,1,31,15,3,3,5,2,0,1,1,1,0,0,0,0,12.391958,51.346442
27,23,1,31,16,3,3,5,3,0,1,1,1,0,0,0,0,13.592084,51.139586
27,23,1,31,18,3,2,2,6,2,1,1,1,0,0,0,0,13.459725,51.14527
12,23,4,14,9,6,3,0,1,0,0,1,0,0,0,0,0,13.739309,51.07392
21,23,4,20,12,5,3,6,4,0,0,1,0,1,0,0,0,12.695005,50.582138
22,23,1,30,7,2,3,5,3,0,1,1,1,0,0,0,0,13.138662,51.121287
12,23,1,29,3,1,3,0,1,2,0,1,0,0,0,0,0,13.721819,51.053658
27,23,1,26,15,5,3,5,3,0,1,1,1,0,0,0,0,13.619058,51.1128
29,23,3,28,13,3,3,5,3,0,0,1,1,0,0,0,0,12.588458,51.328767
12,23,1,25,6,4,2,5,3,1,0,1,1,0,0,0,0,13.774513,51.111769
12,23,1,23,16,2,3,0,7,0,1,1,0,0,0,0,0,13.721669,51.034305
12,23,1,20,8,6,3,5,3,0,1,1,1,0,0,0,0,13.707011,51.0414
13,23,1,19,9,5,1,5,2,0,1,1,0,0,0,1,0,12.399835,51.362052
29,23,1,18,15,4,3,4,6,0,1,1,0,0,0,0,0,12.503114,51.159747
12,23,4,19,14,4,3,5,3,0,0,1,1,0,0,0,0,13.766984,51.020625
27,23,1,18,17,4,3,5,3,2,1,1,1,0,0,0,0,13.69542,51.095478
12,23,1,18,18,4,3,5,3,2,2,1,1,0,0,0,0,13.689678,51.069433
12,23,1,18,15,4,2,5,3,0,1,1,1,0,0,0,0,13.719271,51.076438
13,23,1,17,7,3,3,5,2,0,0,1,1,0,0,0,0,12.443997,51.36007
26,23,1,17,7,3,3,5,3,2,0,1,1,0,0,0,0,14.970465,51.150747
21,23,2,14,16,3,3,8,1,0,0,1,0,0,0,0,0,12.74376,50.715355
28,23,1,17,19,3,3,5,3,2,0,1,1,0,0,0,0,13.931093,50.959516
27,23,1,17,16,3,3,3,6,1,0,1,0,0,0,1,0,13.561116,51.063923
24,23,1,16,15,2,3,4,2,0,0,1,1,0,0,0,0,12.708208,50.758235
